frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
50,2,13.516116266743808 83.3457317148575 465.87313237644423 425.10455036296446,205.7277374267578 348.9275207519531 290.7634582519531 389.5415954589844,0.4867664575576782,95139,0.9982715546935227
154,80,334.08017051075035 130.8129675678879 732.4984033624896 429.8953049277094,506.2389221191406 349.6283874511719 581.4166870117188 384.0392150878906,0.7774112820625305,56569,0.9287459702778279
148,99,98.62597446181957 109.74304196820447 360.78095760366233 331.60576436856235,201.5229949951172 265.1283264160156 264.64813232421875 288.2059020996094,0.41649842262268066,20D?,0.6774379014968872
278,189,190.99137841105284 120.65170078523298 430.827923893162 392.3168702481837,231.9784698486328 298.7736511230469 321.05303955078125 326.06085205078125,0.3015786409378052,23U61,0.9540744133434037
304,243,-1.4521641366610822 13.730421919325465 446.5933705891806 425.03744593578136,218.01695251464844 369.4955749511719 290.5450134277344 406.9422912597656,0.40851372480392456,3U61,0.9641956090927124
311,251,-2.853274031367846 15.540866271641647 477.3635471571852 431.3097387444993,206.72396850585938 392.88623046875 272.0957336425781 429.1199645996094,0.5096032023429871,'I6],0.4218081533908844
